연도,대분류,중분류,소비액_억원,전년대비_증감률
2020,쇼핑업,기타관광쇼핑,111.1,-0.4
2020,쇼핑업,대형쇼핑몰,478.5,-15.2
2020,쇼핑업,레저용품쇼핑,9.9,-9.8
2020,숙박업,기타숙박,10.1,-25.1
2020,숙박업,캠핑장/펜션,0.2,-54.6
2020,숙박업,호텔,9.2,-32.6
2020,식음료업,일반외식업,313.5,-15.2
2020,식음료업,제과음료업,45.4,-5.8
2020,여가서비스업,골프장,9.9,10.3
2020,여가서비스업,관광유원시설,0.8,13.9
2020,여가서비스업,기타레저,11.4,-32.9
2020,여가서비스업,문화서비스,2.5,-57.0
2020,여행업,여행업,0.2,-77.4
2020,운송업,렌터카,1.4,-51.1
2020,운송업,육상운송,34.4,-21.4
2020,의료웰니스,뷰티,23.1,-15.1
2020,의료웰니스,의료관광,9.5,-26.8
2021,쇼핑업,기타관광쇼핑,127.9,15.1
2021,쇼핑업,대형쇼핑몰,439.9,-8.1
2021,쇼핑업,레저용품쇼핑,9.2,-6.8
2021,숙박업,기타숙박,8.3,-17.6
2021,숙박업,캠핑장/펜션,0.1,-19.6
2021,숙박업,호텔,10.3,12.3
2021,식음료업,일반외식업,299.5,-4.4
2021,식음료업,제과음료업,49.4,8.8
2021,여가서비스업,골프장,12.7,28.0
2021,여가서비스업,관광유원시설,1.0,27.9
2021,여가서비스업,기타레저,10.8,-5.7
2021,여가서비스업,문화서비스,2.2,-14.5
2021,여행업,여행업,1.1,435.2
2021,운송업,렌터카,0.8,-39.4
2021,운송업,육상운송,37.9,10.2
2021,의료웰니스,뷰티,27.6,19.8
2021,의료웰니스,의료관광,10.0,5.5
2022,쇼핑업,기타관광쇼핑,151.7,18.6
2022,쇼핑업,대형쇼핑몰,476.4,8.3
2022,쇼핑업,레저용품쇼핑,10.4,13.0
2022,숙박업,기타숙박,10.0,21.1
2022,숙박업,캠핑장/펜션,0.3,92.0
2022,숙박업,호텔,22.3,116.0
2022,식음료업,일반외식업,452.1,50.9
2022,식음료업,제과음료업,65.0,31.8
2022,여가서비스업,골프장,14.6,15.0
2022,여가서비스업,관광유원시설,1.1,6.2
2022,여가서비스업,기타레저,17.8,65.8
2022,여가서비스업,문화서비스,3.2,49.4
2022,여행업,여행업,0.9,-22.1
2022,운송업,렌터카,0.7,-18.0
2022,운송업,육상운송,39.9,5.5
2022,의료웰니스,뷰티,24.5,-11.3
2022,의료웰니스,의료관광,13.3,33.0
2023,쇼핑업,기타관광쇼핑,148.2,-2.3
2023,쇼핑업,대형쇼핑몰,405.3,-14.9
2023,쇼핑업,레저용품쇼핑,9.7,-7.0
2023,숙박업,기타숙박,10.5,4.8
2023,숙박업,캠핑장/펜션,0.2,-18.4
2023,숙박업,호텔,12.2,-45.1
2023,식음료업,일반외식업,414.1,-8.4
2023,식음료업,제과음료업,64.0,-1.6
2023,여가서비스업,골프장,13.2,-9.1
2023,여가서비스업,관광유원시설,1.6,42.0
2023,여가서비스업,기타레저,15.5,-12.9
2023,여가서비스업,문화서비스,2.9,-9.7
2023,여행업,여행업,1.8,98.3
2023,운송업,렌터카,1.1,64.8
2023,운송업,육상운송,36.2,-9.4
2023,의료웰니스,뷰티,22.0,-10.2
2023,의료웰니스,의료관광,13.6,2.2
2024,쇼핑업,기타관광쇼핑,148.6,0.3
2024,쇼핑업,대형쇼핑몰,508.4,25.4
2024,쇼핑업,레저용품쇼핑,10.2,5.2
2024,숙박업,기타숙박,9.8,-7.1
2024,숙박업,캠핑장/펜션,0.1,-37.3
2024,숙박업,호텔,11.0,-10.3
2024,식음료업,일반외식업,405.1,-2.2
2024,식음료업,제과음료업,62.1,-2.9
2024,여가서비스업,골프장,11.7,-11.9
2024,여가서비스업,관광유원시설,1.2,-20.7
2024,여가서비스업,기타레저,14.8,-4.7
2024,여가서비스업,문화서비스,2.9,-0.1
2024,여행업,여행업,1.4,-19.2
2024,운송업,렌터카,0.5,-60.0
2024,운송업,육상운송,32.0,-11.5
2024,의료웰니스,뷰티,23.7,7.7
2024,의료웰니스,의료관광,11.5,-15.7
2025,쇼핑업,기타관광쇼핑,153.6,3.4
2025,쇼핑업,대형쇼핑몰,376.7,-25.9
2025,쇼핑업,레저용품쇼핑,11.9,16.4
2025,숙박업,기타숙박,11.1,13.6
2025,숙박업,캠핑장/펜션,0.2,16.8
2025,숙박업,호텔,10.3,-6.0
2025,식음료업,일반외식업,404.3,-0.2
2025,식음료업,제과음료업,62.2,0.0
2025,여가서비스업,골프장,11.3,-3.5
2025,여가서비스업,관광유원시설,0.1,-92.0
2025,여가서비스업,기타레저,18.8,27.4
2025,여가서비스업,문화서비스,4.0,36.0
2025,여행업,여행업,2.9,99.5
2025,운송업,렌터카,0.5,8.2
2025,운송업,육상운송,28.7,-10.3
2025,의료웰니스,뷰티,23.1,-2.8
2025,의료웰니스,의료관광,11.6,1.1
