분석기간,분석유형,기준년월,기초지자체,중분류,소비액(천원),전년도 지출액,대분류,대분류 지출액 비율,중분류 지출액 비율,행정동명,비율(%),지역명
202001-202012,관광소비 추이,202001.0,수원시 팔달구,관광총소비,111899570.0,109414550.0,,,,,,
202001-202012,관광소비 추이,202002.0,수원시 팔달구,관광총소비,80618630.0,100661642.0,,,,,,
202001-202012,관광소비 추이,202003.0,수원시 팔달구,관광총소비,74812344.0,121041966.0,,,,,,
202001-202012,관광소비 추이,202004.0,수원시 팔달구,관광총소비,86688447.0,112929597.0,,,,,,
202001-202012,관광소비 추이,202005.0,수원시 팔달구,관광총소비,103090801.0,128311278.0,,,,,,
202001-202012,관광소비 추이,202006.0,수원시 팔달구,관광총소비,92418455.0,121719575.0,,,,,,
202001-202012,관광소비 추이,202007.0,수원시 팔달구,관광총소비,94926615.0,113012315.0,,,,,,
202001-202012,관광소비 추이,202008.0,수원시 팔달구,관광총소비,85019721.0,117674069.0,,,,,,
202001-202012,관광소비 추이,202009.0,수원시 팔달구,관광총소비,87666571.0,117347856.0,,,,,,
202001-202012,관광소비 추이,202010.0,수원시 팔달구,관광총소비,107096980.0,125250180.0,,,,,,
202001-202012,관광소비 추이,202011.0,수원시 팔달구,관광총소비,107957994.0,132235029.0,,,,,,
202001-202012,관광소비 추이,202012.0,수원시 팔달구,관광총소비,73018086.0,133753659.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,호텔,983996.0,1395025.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,캠핑장/펜션,42106.0,48386.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,기타숙박,1339848.0,1208845.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,여행업,221508.0,143459.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,렌터카,158002.0,260310.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,대형쇼핑몰,45685505.0,46530346.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,레저용품쇼핑,690856.0,729483.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,기타관광쇼핑,11602542.0,10975441.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,관광유원시설,27872.0,16978.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,기타레저,1888622.0,1552158.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,문화서비스,636865.0,750979.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,육상운송,4128170.0,3481569.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,골프장,145782.0,155246.0,,,,,,
202001-202012,관광소비 추이,202001.0,수원시 팔달구,의료관광,1216058.0,1142417.0,,,,,,
