축제명,그룹명,개최년도,구분명,지표값
수원화성문화제,축제기간,2025,외부방문자 유입,0.573
수원화성문화제,축제기간,2025,현지인방문자 유입,0.908
수원화성문화제,축제기간,2025,내비게이션 검색량,0.403
수원화성문화제,축제기간,2025,관광소비,0.659
수원화성문화제,축제기간,2025,축제지 집중률,0.67
수원화성문화제,비축제기간,2025,외부방문자 유입,0.42
수원화성문화제,비축제기간,2025,현지인방문자 유입,0.785
수원화성문화제,비축제기간,2025,내비게이션 검색량,0.326
수원화성문화제,비축제기간,2025,관광소비,0.591
수원화성문화제,비축제기간,2025,축제지 집중률,0.532
수원화성문화제,축제기간,2024,외부방문자 유입,0.772
수원화성문화제,축제기간,2024,현지인방문자 유입,0.942
수원화성문화제,축제기간,2024,내비게이션 검색량,0.715
수원화성문화제,축제기간,2024,관광소비,0.366
수원화성문화제,축제기간,2024,축제지 집중률,0.858
수원화성문화제,비축제기간,2024,외부방문자 유입,0.551
수원화성문화제,비축제기간,2024,현지인방문자 유입,0.737
수원화성문화제,비축제기간,2024,내비게이션 검색량,0.469
수원화성문화제,비축제기간,2024,관광소비,0.35
수원화성문화제,비축제기간,2024,축제지 집중률,0.666
수원화성문화제,축제기간,2023,외부방문자 유입,0.912
수원화성문화제,축제기간,2023,현지인방문자 유입,0.914
수원화성문화제,축제기간,2023,내비게이션 검색량,0.799
수원화성문화제,축제기간,2023,관광소비,0.383
수원화성문화제,축제기간,2023,축제지 집중률,0.867
수원화성문화제,비축제기간,2023,외부방문자 유입,0.585
수원화성문화제,비축제기간,2023,현지인방문자 유입,0.689
수원화성문화제,비축제기간,2023,내비게이션 검색량,0.45
수원화성문화제,비축제기간,2023,관광소비,0.359
수원화성문화제,비축제기간,2023,축제지 집중률,0.638
수원화성문화제,축제기간,2022,외부방문자 유입,0.649
수원화성문화제,축제기간,2022,현지인방문자 유입,0.849
수원화성문화제,축제기간,2022,내비게이션 검색량,0.585
수원화성문화제,축제기간,2022,관광소비,0.396
수원화성문화제,축제기간,2022,축제지 집중률,0.746
수원화성문화제,비축제기간,2022,외부방문자 유입,0.584
수원화성문화제,비축제기간,2022,현지인방문자 유입,0.81
수원화성문화제,비축제기간,2022,내비게이션 검색량,0.499
수원화성문화제,비축제기간,2022,관광소비,0.387
수원화성문화제,비축제기간,2022,축제지 집중률,0.68
수원화성문화제,축제기간,2019,외부방문자 유입,0.776
수원화성문화제,축제기간,2019,현지인방문자 유입,0.901
수원화성문화제,축제기간,2019,내비게이션 검색량,0.815
수원화성문화제,축제기간,2019,관광소비,0.381
수원화성문화제,축제기간,2019,축제지 집중률,0.879
수원화성문화제,비축제기간,2019,외부방문자 유입,0.536
수원화성문화제,비축제기간,2019,현지인방문자 유입,0.736
수원화성문화제,비축제기간,2019,내비게이션 검색량,0.463
수원화성문화제,비축제기간,2019,관광소비,0.352
수원화성문화제,비축제기간,2019,축제지 집중률,0.666
수원화성문화제,축제기간,2018,외부방문자 유입,0.61
수원화성문화제,축제기간,2018,현지인방문자 유입,0.788
수원화성문화제,축제기간,2018,내비게이션 검색량,0.572
수원화성문화제,축제기간,2018,관광소비,0.382
수원화성문화제,축제기간,2018,축제지 집중률,0.693
수원화성문화제,비축제기간,2018,외부방문자 유입,0.548
수원화성문화제,비축제기간,2018,현지인방문자 유입,0.738
수원화성문화제,비축제기간,2018,내비게이션 검색량,0.42
수원화성문화제,비축제기간,2018,관광소비,0.374
수원화성문화제,비축제기간,2018,축제지 집중률,0.604
